county,precinct,PRES20D,PRES20L,PRES20R,PREC
Cobb,Vinings 04,1350,29,1296,"COBB, VININGS 04"
Cobb,Wade Green 02,1859,70,1605,"COBB, WADE GREEN 02"
Cobb,Willeo 01,1079,45,1270,"COBB, WILLEO 01"
Coffee,Ambrose,264,6,1104,"COFFEE, AMBROSE"
Coffee,Bridgetown,60,3,190,"COFFEE, BRIDGETOWN"
Coffee,Broxton,378,11,1200,"COFFEE, BROXTON"
Coffee,Douglas,3485,91,6510,"COFFEE, DOUGLAS"
Coffee,Nicholls,288,10,963,"COFFEE, NICHOLLS"
Coffee,West Green,36,4,611,"COFFEE, WEST GREEN"
Colquitt,Autreyville,202,8,746,"COLQUITT, AUTREYVILLE"
Colquitt,Bridgecreek,99,2,795,"COLQUITT, BRIDGECREEK"
Colquitt,Crosland,51,0,137,"COLQUITT, CROSLAND"
Colquitt,Doerun,140,3,294,"COLQUITT, DOERUN"
Colquitt,Funston,107,10,613,"COLQUITT, FUNSTON"
Colquitt,Hamilton,55,4,512,"COLQUITT, HAMILTON"
Colquitt,Hartsfield,27,2,291,"COLQUITT, HARTSFIELD"
Colquitt,Hopewell,187,14,971,"COLQUITT, HOPEWELL"
Colquitt,Lee,108,3,558,"COLQUITT, LEE"
Colquitt,Millcreek,27,2,281,"COLQUITT, MILLCREEK"
Colquitt,Monk,170,6,888,"COLQUITT, MONK"
Colquitt,Moultrie,1169,28,1799,"COLQUITT, MOULTRIE"
Colquitt,Murphy,96,6,676,"COLQUITT, MURPHY"
Colquitt,Norman Park,372,15,1226,"COLQUITT, NORMAN PARK"
Colquitt,Robinson,93,3,480,"COLQUITT, ROBINSON"
Colquitt,Shaw,1152,9,429,"COLQUITT, SHAW"
Colquitt,Thigpen,17,0,159,"COLQUITT, THIGPEN"
Colquitt,Tyty,31,3,328,"COLQUITT, TYTY"
Colquitt,Warrior,84,1,594,"COLQUITT, WARRIOR"
Columbia,Abilene Baptist,464,17,963,"COLUMBIA, ABILENE BAPTIST"
Columbia,Augusta Christian,605,24,1003,"COLUMBIA, AUGUSTA CHRISTIAN"
Columbia,Belair Baptist Church,677,36,1109,"COLUMBIA, BELAIR BAPTIST CHURCH"
Columbia,Bessie Thomas Center,88,10,531,"COLUMBIA, BESSIE THOMAS CENTER"
Columbia,Blanchard Park,596,19,796,"COLUMBIA, BLANCHARD PARK"
Columbia,Blue Ridge Elementary,618,31,1018,"COLUMBIA, BLUE RIDGE ELEMENTARY"
Columbia,Christ Church Presbyterian,499,28,1138,"COLUMBIA, CHRIST CHURCH PRESBYTERIAN"
Columbia,Christ Sanctified,570,31,1268,"COLUMBIA, CHRIST SANCTIFIED"
Columbia,Christ The King Luth Church,565,15,1186,"COLUMBIA, CHRIST THE KING LUTH CHURCH"
Columbia,Church of Our Savior,649,25,984,"COLUMBIA, CHURCH OF OUR SAVIOR"
Columbia,Col Cty Bd of Edu,570,16,1068,"COLUMBIA, COL CTY BD OF EDU"
Columbia,Col Cty Main Library,559,14,1003,"COLUMBIA, COL CTY MAIN LIBRARY"
Columbia,Damascus Baptist Church,99,5,720,"COLUMBIA, DAMASCUS BAPTIST CHURCH"
Columbia,Eubank-Blanchard Center,277,11,947,"COLUMBIA, EUBANK-BLANCHARD CENTER"
Columbia,G A Apostolic Church,471,21,737,"COLUMBIA, G A APOSTOLIC CHURCH"
Columbia,Genesis Church,478,22,937,"COLUMBIA, GENESIS CHURCH"
Columbia,Gold Cross EMS,378,19,1007,"COLUMBIA, GOLD CROSS EMS"
Columbia,Gospel Water Branch,654,18,1012,"COLUMBIA, GOSPEL WATER BRANCH"
Columbia,Grace Baptist Church,1171,50,1526,"COLUMBIA, GRACE BAPTIST CHURCH"
Columbia,Greenbrier High,793,46,1871,"COLUMBIA, GREENBRIER HIGH"
Columbia,Grove First Baptist Church,1163,35,782,"COLUMBIA, GROVE FIRST BAPTIST CHURCH"
Columbia,Grovetown Methodist Church,1051,28,607,"COLUMBIA, GROVETOWN METHODIST CHURCH"
Columbia,Grovetown Public Safety Station 2,1423,63,1021,"COLUMBIA, GROVETOWN PUBLIC SAFETY STATION 2"
Columbia,Harlem Branch Library,460,28,1405,"COLUMBIA, HARLEM BRANCH LIBRARY"
Columbia,Harlem Senior Center,540,24,827,"COLUMBIA, HARLEM SENIOR CENTER"
Columbia,Journey Comm Church,238,15,808,"COLUMBIA, JOURNEY COMM CHURCH"
Columbia,Kiokee Baptist Church,295,23,1782,"COLUMBIA, KIOKEE BAPTIST CHURCH"
Columbia,Lakeside Middle,512,35,825,"COLUMBIA, LAKESIDE MIDDLE"
Columbia,Lewis Methodist Church,1116,57,1721,"COLUMBIA, LEWIS METHODIST CHURCH"
Columbia,Liberty Park-Grovetown,1149,39,1064,"COLUMBIA, LIBERTY PARK-GROVETOWN"
Columbia,Martinez Baptist,528,28,767,"COLUMBIA, MARTINEZ BAPTIST"
Columbia,Marvin Methodist,532,27,832,"COLUMBIA, MARVIN METHODIST"
Columbia,Mtz Col Fire Hdqtr,321,19,507,"COLUMBIA, MTZ COL FIRE HDQTR"
Columbia,New Life Church,1692,85,1433,"COLUMBIA, NEW LIFE CHURCH"
Columbia,Parkway Baptist Church,1269,60,2324,"COLUMBIA, PARKWAY BAPTIST CHURCH"
Columbia,Patriots Park,1148,71,1834,"COLUMBIA, PATRIOTS PARK"
Columbia,Philadelphia Church,739,55,935,"COLUMBIA, PHILADELPHIA CHURCH"
Columbia,Riverview Church,378,17,683,"COLUMBIA, RIVERVIEW CHURCH"
Columbia,Savannah Rapids Pavilion,380,12,998,"COLUMBIA, SAVANNAH RAPIDS PAVILION"
Columbia,Second Mt Carmel Baptist Church,284,4,268,"COLUMBIA, SECOND MT CARMEL BAPTIST CHURCH"
Columbia,Second Mt Moriah Baptist Church,159,17,623,"COLUMBIA, SECOND MT MORIAH BAPTIST CHURCH"
Columbia,Stevens Creek Church,736,25,1543,"COLUMBIA, STEVENS CREEK CHURCH"
Columbia,Trinity Baptist Church,573,28,1483,"COLUMBIA, TRINITY BAPTIST CHURCH"
Columbia,Wesley Methodist,578,29,1304,"COLUMBIA, WESLEY METHODIST"
Columbia,West Acres Baptist,570,20,1232,"COLUMBIA, WEST ACRES BAPTIST"
Columbia,Westside Baptist Church,346,17,855,"COLUMBIA, WESTSIDE BAPTIST CHURCH"
Columbia,Woodlawn Baptist Church,275,11,726,"COLUMBIA, WOODLAWN BAPTIST CHURCH"
Cook,Cecil,514,15,637,"COOK, CECIL"
Cook,Delle Beamguard,404,19,1249,"COOK, DELLE BEAMGUARD"
Cook,Elm Pine,260,5,17,"COOK, ELM PINE"
Cook,Lenox,180,8,702,"COOK, LENOX"
Cook,Massee,119,5,521,"COOK, MASSEE"
Cook,New Life Baptist Church,113,11,761,"COOK, NEW LIFE BAPTIST CHURCH"
Cook,Riverbend,127,7,799,"COOK, RIVERBEND"
Cook,Sparks,342,6,214,"COOK, SPARKS"
Coweta,Cannongate,689,58,2188,"COWETA, CANNONGATE"
Coweta,Cedar Creek,1025,51,3258,"COWETA, CEDAR CREEK"
Coweta,Central,1559,44,868,"COWETA, CENTRAL"
Coweta,Coweta Central Library,327,17,1038,"COWETA, COWETA CENTRAL LIBRARY"
Coweta,Dresden,119,8,513,"COWETA, DRESDEN"
Coweta,Expo Center,478,26,1028,"COWETA, EXPO CENTER"
Coweta,Fischer Road,951,46,2423,"COWETA, FISCHER ROAD"
Coweta,Grantville,524,25,1219,"COWETA, GRANTVILLE"
Coweta,Greentop,795,29,1227,"COWETA, GREENTOP"
Coweta,Haralson,322,26,1465,"COWETA, HARALSON"
Coweta,Madras,1225,53,2282,"COWETA, MADRAS"
Coweta,Moreland,420,21,1768,"COWETA, MORELAND"
Coweta,Newnan,1317,25,846,"COWETA, NEWNAN"
Coweta,Newnan Centre,6428,227,8479,"COWETA, NEWNAN CENTRE"
Coweta,Northside,602,34,1119,"COWETA, NORTHSIDE"
Coweta,Panther Creek,516,25,1644,"COWETA, PANTHER CREEK"
Coweta,Pine Road,263,16,1276,"COWETA, PINE ROAD"
Coweta,Raymond,394,15,1524,"COWETA, RAYMOND"
Coweta,Senoia,1183,62,3423,"COWETA, SENOIA"
Coweta,Sharpsburg,713,52,2795,"COWETA, SHARPSBURG"
Coweta,Smokey Road,769,20,949,"COWETA, SMOKEY ROAD"
Coweta,Thomas Crossroads,904,49,2945,"COWETA, THOMAS CROSSROADS"
Coweta,Turin,764,50,2807,"COWETA, TURIN"
Coweta,Welcome,494,32,1849,"COWETA, WELCOME"
Coweta,Westside,343,7,189,"COWETA, WESTSIDE"
Coweta,White Oak,1086,70,2379,"COWETA, WHITE OAK"
Crawford,District 1A,138,2,190,"CRAWFORD, DISTRICT 1A"
Crawford,District 1B,411,3,308,"CRAWFORD, DISTRICT 1B"
Crawford,District 2,535,14,691,"CRAWFORD, DISTRICT 2"
Crawford,District 3,184,16,1043,"CRAWFORD, DISTRICT 3"
Crawford,District 4,161,11,1125,"CRAWFORD, DISTRICT 4"
Crawford,District 5,186,13,1071,"CRAWFORD, DISTRICT 5"
Crisp,Arabi,112,1,459,"CRISP, ARABI"
Crisp,Coney,88,3,624,"CRISP, CONEY"
Crisp,Cordele,2649,56,2488,"CRISP, CORDELE"
Crisp,Jamestown,108,3,832,"CRISP, JAMESTOWN"
Crisp,Listonia,29,3,584,"CRISP, LISTONIA"
Dade,Davis,108,15,1216,"DADE, DAVIS"
Dade,New Home,60,6,414,"DADE, NEW HOME"
Dade,New Salem,198,11,729,"DADE, NEW SALEM"
Dade,North Dade,283,18,946,"DADE, NORTH DADE"
Dade,South Dade,121,8,533,"DADE, SOUTH DADE"
Dade,Trenton,300,29,1599,"DADE, TRENTON"
Dade,West Brow,191,20,629,"DADE, WEST BROW"
Dawson,Central,849,80,6203,"DAWSON, CENTRAL"
Dawson,East,1133,93,5561,"DAWSON, EAST"
Dawson,West,504,24,1634,"DAWSON, WEST"
DeKalb,Allgood Elem,1718,12,201,"DEKALB, ALLGOOD ELEM"
DeKalb,Ashford Dunwoody Rd,1469,37,987,"DEKALB, ASHFORD DUNWOODY RD"
DeKalb,Ashford Park Elem,1075,39,890,"DEKALB, ASHFORD PARK ELEM"
DeKalb,Ashford Parkside,1715,33,1048,"DEKALB, ASHFORD PARKSIDE"
DeKalb,Austin,1077,31,1104,"DEKALB, AUSTIN"
DeKalb,Austin Drive,1280,21,97,"DEKALB, AUSTIN DRIVE"
DeKalb,Avondale,1970,41,538,"DEKALB, AVONDALE"
DeKalb,Avondale High,2197,37,278,"DEKALB, AVONDALE HIGH"
DeKalb,Bethune Middle,2698,17,138,"DEKALB, BETHUNE MIDDLE"
DeKalb,Bouldercrest Road,1289,8,57,"DEKALB, BOULDERCREST ROAD"
DeKalb,Boulevard,3341,44,256,"DEKALB, BOULEVARD"
DeKalb,Briar Vista Elem,1784,33,447,"DEKALB, BRIAR VISTA ELEM"
DeKalb,Briarcliff,1573,30,745,"DEKALB, BRIARCLIFF"
DeKalb,Briarlake Elem,994,24,476,"DEKALB, BRIARLAKE ELEM"
DeKalb,Briarwood,1160,30,615,"DEKALB, BRIARWOOD"
DeKalb,Brockett,1361,30,565,"DEKALB, BROCKETT"
DeKalb,Brockett Elem,1387,28,549,"DEKALB, BROCKETT ELEM"
DeKalb,Brookhaven,1631,50,1112,"DEKALB, BROOKHAVEN"
DeKalb,Browns Mill Elem,2660,17,107,"DEKALB, BROWNS MILL ELEM"
DeKalb,Burgess Elem,2432,24,180,"DEKALB, BURGESS ELEM"
DeKalb,Canby Lane Elem,1191,14,64,"DEKALB, CANBY LANE ELEM"
DeKalb,Candler,1845,21,136,"DEKALB, CANDLER"
DeKalb,Candler Park,3123,39,300,"DEKALB, CANDLER PARK"
DeKalb,Candler-Murphey Candler Elem,2320,17,181,"DEKALB, CANDLER-MURPHEY CANDLER ELEM"
DeKalb,Cedar Grove Elem,2532,34,96,"DEKALB, CEDAR GROVE ELEM"
DeKalb,Cedar Grove Middle,884,5,51,"DEKALB, CEDAR GROVE MIDDLE"
DeKalb,Cedar Grove South,2586,29,105,"DEKALB, CEDAR GROVE SOUTH"
DeKalb,Chamblee,1124,33,495,"DEKALB, CHAMBLEE"
DeKalb,Chamblee 2,1652,37,831,"DEKALB, CHAMBLEE 2"
DeKalb,Chapel Hill Elem,2161,20,79,"DEKALB, CHAPEL HILL ELEM"
DeKalb,Chesnut Elem,1262,16,420,"DEKALB, CHESNUT ELEM"
DeKalb,Clairemont East,2370,36,332,"DEKALB, CLAIREMONT EAST"
DeKalb,Clairemont West,2404,28,363,"DEKALB, CLAIREMONT WEST"
DeKalb,Clairmont Road,1918,20,455,"DEKALB, CLAIRMONT ROAD"
DeKalb,Clarkston,1750,25,195,"DEKALB, CLARKSTON"
DeKalb,Clarkston Community Center,1202,15,213,"DEKALB, CLARKSTON COMMUNITY CENTER"
DeKalb,Clifton,1000,7,48,"DEKALB, CLIFTON"
DeKalb,Coan Recreation Center,2680,47,236,"DEKALB, COAN RECREATION CENTER"
DeKalb,Columbia Drive,1280,10,61,"DEKALB, COLUMBIA DRIVE"
DeKalb,Columbia Elem,730,7,28,"DEKALB, COLUMBIA ELEM"
DeKalb,Columbia Middle,1102,5,57,"DEKALB, COLUMBIA MIDDLE"
DeKalb,Coralwood,1961,39,699,"DEKALB, CORALWOOD"
DeKalb,Covington,1157,25,143,"DEKALB, COVINGTON"
DeKalb,Covington Hwy,220,4,12,"DEKALB, COVINGTON HWY"
DeKalb,Cross Keys High,1107,41,479,"DEKALB, CROSS KEYS HIGH"
DeKalb,Crossroads,1738,17,91,"DEKALB, CROSSROADS"
DeKalb,Decatur,1480,12,137,"DEKALB, DECATUR"
DeKalb,Doraville North,1398,25,473,"DEKALB, DORAVILLE NORTH"
DeKalb,Doraville South,589,12,240,"DEKALB, DORAVILLE SOUTH"
DeKalb,Dresden Elem,2466,50,866,"DEKALB, DRESDEN ELEM"
DeKalb,Druid Hills High,1431,18,285,"DEKALB, DRUID HILLS HIGH"
DeKalb,Dunaire Elem,1215,11,178,"DEKALB, DUNAIRE ELEM"
DeKalb,Dunwoody,1497,31,705,"DEKALB, DUNWOODY"
DeKalb,Dunwoody 2,936,27,794,"DEKALB, DUNWOODY 2"
DeKalb,Dunwoody Library,1129,26,1071,"DEKALB, DUNWOODY LIBRARY"
DeKalb,East Lake,2679,54,260,"DEKALB, EAST LAKE"
DeKalb,Embry Hills,917,26,434,"DEKALB, EMBRY HILLS"
DeKalb,Emory Road,1206,5,148,"DEKALB, EMORY ROAD"
DeKalb,Emory South,2031,42,436,"DEKALB, EMORY SOUTH"
DeKalb,Evansdale Elem,1723,40,759,"DEKALB, EVANSDALE ELEM"
DeKalb,Fairington Elem,2692,20,103,"DEKALB, FAIRINGTON ELEM"
DeKalb,Fernbank Elem,1523,26,340,"DEKALB, FERNBANK ELEM"
DeKalb,Flakes Mill Fire Station,1292,11,71,"DEKALB, FLAKES MILL FIRE STATION"
DeKalb,Flat Rock Elem,2098,15,95,"DEKALB, FLAT ROCK ELEM"
DeKalb,Flat Shoals,1300,8,56,"DEKALB, FLAT SHOALS"
DeKalb,Flat Shoals Elem,1276,9,45,"DEKALB, FLAT SHOALS ELEM"
DeKalb,Flat Shoals Library,1391,16,55,"DEKALB, FLAT SHOALS LIBRARY"
DeKalb,Flat Shoals Parkway,2283,20,77,"DEKALB, FLAT SHOALS PARKWAY"
DeKalb,Freedom Middle,1683,13,193,"DEKALB, FREEDOM MIDDLE"
DeKalb,Georgetown Sq,1939,45,893,"DEKALB, GEORGETOWN SQ"
DeKalb,Glenhaven,999,12,123,"DEKALB, GLENHAVEN"
DeKalb,Glennwood,1764,28,227,"DEKALB, GLENNWOOD"
DeKalb,Glenwood Road,1122,14,101,"DEKALB, GLENWOOD ROAD"
DeKalb,Gresham Road,2181,28,115,"DEKALB, GRESHAM ROAD"
DeKalb,Hambrick Elem,1947,22,374,"DEKALB, HAMBRICK ELEM"
DeKalb,Harris-Margaret Harris ED,896,15,168,"DEKALB, HARRIS-MARGARET HARRIS ED"
DeKalb,Harris-Narvie J Harris Elem,2537,26,91,"DEKALB, HARRIS-NARVIE J HARRIS ELEM"
DeKalb,Hawthorne Elem,2034,40,624,"DEKALB, HAWTHORNE ELEM"
DeKalb,Henderson Mill,1671,41,687,"DEKALB, HENDERSON MILL"
DeKalb,Hugh Howell,910,27,516,"DEKALB, HUGH HOWELL"
DeKalb,Huntley Hills Elem,1819,49,595,"DEKALB, HUNTLEY HILLS ELEM"
DeKalb,Idlewood Elem,1307,13,332,"DEKALB, IDLEWOOD ELEM"
DeKalb,Indian Creek,1005,21,215,"DEKALB, INDIAN CREEK"
DeKalb,Johnson Estates,1122,22,269,"DEKALB, JOHNSON ESTATES"
DeKalb,Jolly Elem,1753,22,427,"DEKALB, JOLLY ELEM"
DeKalb,Kelley Chapel Road,897,5,41,"DEKALB, KELLEY CHAPEL ROAD"
DeKalb,Kelley Lake Elem,1627,17,78,"DEKALB, KELLEY LAKE ELEM"
DeKalb,Kingsley Elem,1043,26,1067,"DEKALB, KINGSLEY ELEM"
DeKalb,Kittredge Elem,1079,32,734,"DEKALB, KITTREDGE ELEM"
DeKalb,Knollwood,1387,15,105,"DEKALB, KNOLLWOOD"
DeKalb,Lakeside High,1765,49,819,"DEKALB, LAKESIDE HIGH"
DeKalb,Lavista,1626,26,514,"DEKALB, LAVISTA"
DeKalb,Lavista Road,1275,22,432,"DEKALB, LAVISTA ROAD"
DeKalb,Lin-Mary Lin Elem,2100,33,310,"DEKALB, LIN-MARY LIN ELEM"
DeKalb,Lithonia,828,15,74,"DEKALB, LITHONIA"
DeKalb,Lithonia High,1955,25,80,"DEKALB, LITHONIA HIGH"
DeKalb,Livsey Elem,719,16,391,"DEKALB, LIVSEY ELEM"
DeKalb,Marbut Elem,2377,21,81,"DEKALB, MARBUT ELEM"
DeKalb,Mathis-Bob Mathis Elem,1852,11,90,"DEKALB, MATHIS-BOB MATHIS ELEM"
DeKalb,McLendon,2025,43,423,"DEKALB, MCLENDON"
DeKalb,McNair,1623,20,80,"DEKALB, MCNAIR"
DeKalb,McNair Academy,1213,14,53,"DEKALB, MCNAIR ACADEMY"
DeKalb,McNair High,2667,34,163,"DEKALB, MCNAIR HIGH"
DeKalb,McWilliams,1673,14,63,"DEKALB, MCWILLIAMS"
DeKalb,Meadowview,1959,22,102,"DEKALB, MEADOWVIEW"
DeKalb,Medlock,1471,26,308,"DEKALB, MEDLOCK"
DeKalb,Memorial South,1346,10,150,"DEKALB, MEMORIAL SOUTH"
DeKalb,Metropolitan,2304,43,161,"DEKALB, METROPOLITAN"
DeKalb,Midvale Elem,1333,31,963,"DEKALB, MIDVALE ELEM"
DeKalb,Midvale Road,1060,16,210,"DEKALB, MIDVALE ROAD"
DeKalb,Midway,1553,25,133,"DEKALB, MIDWAY"
DeKalb,Miller Grove,2424,17,96,"DEKALB, MILLER GROVE"
DeKalb,Miller Grove High,1700,19,70,"DEKALB, MILLER GROVE HIGH"
DeKalb,Miller Grove Road,1404,11,75,"DEKALB, MILLER GROVE ROAD"
DeKalb,Miller-Eldridge L Miller Elem,1928,18,143,"DEKALB, MILLER-ELDRIDGE L MILLER ELEM"
DeKalb,Montclair Elem,1067,13,168,"DEKALB, MONTCLAIR ELEM"
DeKalb,Montgomery Elem,1256,35,783,"DEKALB, MONTGOMERY ELEM"
DeKalb,Montreal,1459,20,375,"DEKALB, MONTREAL"
DeKalb,Mount Vernon East,1124,33,1108,"DEKALB, MOUNT VERNON EAST"
DeKalb,Mount Vernon West,1084,35,802,"DEKALB, MOUNT VERNON WEST"
DeKalb,North Decatur,1245,16,191,"DEKALB, NORTH DECATUR"
DeKalb,North Hairston,1242,13,158,"DEKALB, NORTH HAIRSTON"
DeKalb,North Peachtree,851,22,345,"DEKALB, NORTH PEACHTREE"
DeKalb,Northlake,909,28,323,"DEKALB, NORTHLAKE"
DeKalb,Oak Grove Elem,1341,24,525,"DEKALB, OAK GROVE ELEM"
DeKalb,Oak View Elem,2849,15,88,"DEKALB, OAK VIEW ELEM"
DeKalb,Oakcliff Elem,913,13,377,"DEKALB, OAKCLIFF ELEM"
DeKalb,Oakhurst,1904,34,134,"DEKALB, OAKHURST"
DeKalb,Panola,928,7,62,"DEKALB, PANOLA"
DeKalb,Panola Road,1791,11,52,"DEKALB, PANOLA ROAD"
DeKalb,Panola Way Elem,1114,15,51,"DEKALB, PANOLA WAY ELEM"
DeKalb,Peachcrest,1218,17,121,"DEKALB, PEACHCREST"
DeKalb,Peachtree Middle,1803,25,653,"DEKALB, PEACHTREE MIDDLE"
DeKalb,Pine Lake,425,4,49,"DEKALB, PINE LAKE"
DeKalb,Piney Grove,1042,11,62,"DEKALB, PINEY GROVE"
DeKalb,Pleasantdale Road,2068,42,394,"DEKALB, PLEASANTDALE ROAD"
DeKalb,Ponce de Leon,2640,24,276,"DEKALB, PONCE DE LEON"
DeKalb,Princeton Elem,1469,5,73,"DEKALB, PRINCETON ELEM"
DeKalb,Rainbow Elem,2302,10,118,"DEKALB, RAINBOW ELEM"
DeKalb,Redan Elem,1942,9,83,"DEKALB, REDAN ELEM"
DeKalb,Redan Middle,1535,17,86,"DEKALB, REDAN MIDDLE"
DeKalb,Redan Road,1620,18,93,"DEKALB, REDAN ROAD"
DeKalb,Redan-Trotti Library,2296,25,89,"DEKALB, REDAN-TROTTI LIBRARY"
DeKalb,Rehoboth,1028,22,424,"DEKALB, REHOBOTH"
DeKalb,Rock Chapel Elem,1819,13,92,"DEKALB, ROCK CHAPEL ELEM"
DeKalb,Rock Chapel Road,2636,12,231,"DEKALB, ROCK CHAPEL ROAD"
DeKalb,Rockbridge Elem,1754,13,166,"DEKALB, ROCKBRIDGE ELEM"
DeKalb,Rockbridge Road,2715,18,144,"DEKALB, ROCKBRIDGE ROAD"
DeKalb,Rowland Elem,1780,20,138,"DEKALB, ROWLAND ELEM"
DeKalb,Rowland Road,1182,8,112,"DEKALB, ROWLAND ROAD"
DeKalb,Sagamore Hills Elem,1801,35,710,"DEKALB, SAGAMORE HILLS ELEM"
DeKalb,Salem Middle,2436,21,95,"DEKALB, SALEM MIDDLE"
DeKalb,Scott,1783,36,313,"DEKALB, SCOTT"
DeKalb,Shadow Rock Elem,2853,16,156,"DEKALB, SHADOW ROCK ELEM"
DeKalb,Shamrock,1029,10,299,"DEKALB, SHAMROCK"
DeKalb,Shaw-Robert Shaw Elem,1647,22,171,"DEKALB, SHAW-ROBERT SHAW ELEM"
DeKalb,Silver Lake,2173,52,1522,"DEKALB, SILVER LAKE"
DeKalb,Skyland,990,29,650,"DEKALB, SKYLAND"
DeKalb,Smoke Rise,1058,22,672,"DEKALB, SMOKE RISE"
DeKalb,Snapfinger Elem,1269,10,63,"DEKALB, SNAPFINGER ELEM"
DeKalb,Snapfinger Road,3499,16,116,"DEKALB, SNAPFINGER ROAD"
DeKalb,Snapfinger Road N,1395,8,69,"DEKALB, SNAPFINGER ROAD N"
DeKalb,Snapfinger Road S,1300,13,62,"DEKALB, SNAPFINGER ROAD S"
DeKalb,South Deshon,2156,15,95,"DEKALB, SOUTH DESHON"
DeKalb,South Hairston,2064,17,106,"DEKALB, SOUTH HAIRSTON"
DeKalb,Stephenson High,2219,19,159,"DEKALB, STEPHENSON HIGH"
DeKalb,Stephenson Middle,2431,14,154,"DEKALB, STEPHENSON MIDDLE"
DeKalb,Stone Mill Elem,1445,18,133,"DEKALB, STONE MILL ELEM"
DeKalb,Stone Mountain Elem,1185,10,384,"DEKALB, STONE MOUNTAIN ELEM"
DeKalb,Stone Mtn,801,9,183,"DEKALB, STONE MTN"
DeKalb,Stone Mtn Champion,1502,23,184,"DEKALB, STONE MTN CHAMPION"
DeKalb,Stone Mtn Middle,1208,20,131,"DEKALB, STONE MTN MIDDLE"
DeKalb,Stonecrest Library,2285,13,102,"DEKALB, STONECREST LIBRARY"
DeKalb,Stoneview Elem,904,7,71,"DEKALB, STONEVIEW ELEM"
DeKalb,Terry Mill,1777,17,96,"DEKALB, TERRY MILL"
DeKalb,Tilly Mill Road,674,15,609,"DEKALB, TILLY MILL ROAD"
DeKalb,Toney Elem,984,6,43,"DEKALB, TONEY ELEM"
DeKalb,Tucker,1521,22,609,"DEKALB, TUCKER"
DeKalb,Tucker Library,1750,52,987,"DEKALB, TUCKER LIBRARY"
DeKalb,Valley Brook,643,11,152,"DEKALB, VALLEY BROOK"
DeKalb,Wadsworth,1825,15,82,"DEKALB, WADSWORTH"
DeKalb,Warren Tech,665,11,248,"DEKALB, WARREN TECH"
DeKalb,Wesley Chapel Library,2029,13,73,"DEKALB, WESLEY CHAPEL LIBRARY"
DeKalb,White Oak,1461,10,62,"DEKALB, WHITE OAK"
DeKalb,Winnona Park,1518,22,162,"DEKALB, WINNONA PARK"
DeKalb,Winters Chapel,652,19,532,"DEKALB, WINTERS CHAPEL"
DeKalb,Woodridge Elem,2113,19,140,"DEKALB, WOODRIDGE ELEM"
DeKalb,Woodrow Road,1805,15,124,"DEKALB, WOODROW ROAD"
DeKalb,Woodward,1779,33,542,"DEKALB, WOODWARD"
DeKalb,Wynbrooke Elem,2394,11,162,"DEKALB, WYNBROOKE ELEM"
DeKalb,Young Road,1289,16,57,"DEKALB, YOUNG ROAD"
Decatur,Attapulgus,795,9,462,"DECATUR, ATTAPULGUS"
Decatur,BDGE-Fairgrounds,1099,20,1009,"DECATUR, BDGE-FAIRGROUNDS"
Decatur,Bainbridge-Coliseum,1601,37,2345,"DECATUR, BAINBRIDGE-COLISEUM"
Decatur,Brinson,122,5,492,"DECATUR, BRINSON"
Decatur,Climax,200,5,558,"DECATUR, CLIMAX"
Decatur,Kendrick,98,0,315,"DECATUR, KENDRICK"
Decatur,Mt Pleasant,55,1,392,"DECATUR, MT PLEASANT"
Decatur,Recovery,115,1,388,"DECATUR, RECOVERY"
Decatur,West Bainbridge,695,11,797,"DECATUR, WEST BAINBRIDGE"
Dodge,Chauncey,58,2,248,"DODGE, CHAUNCEY"
Dodge,Clark,3,0,70,"DODGE, CLARK"
Dodge,Eddin,235,1,540,"DODGE, EDDIN"
Dodge,Empire,29,5,289,"DODGE, EMPIRE"
Dodge,Jaybird,46,0,102,"DODGE, JAYBIRD"
Dodge,Jones,45,3,275,"DODGE, JONES"
Dodge,Lee,1194,25,1962,"DODGE, LEE"
Dodge,McCranie,39,1,190,"DODGE, MCCRANIE"
Dodge,Milan,41,1,189,"DODGE, MILAN"
Dodge,Mitchell,55,3,220,"DODGE, MITCHELL"
Dodge,Mullis,75,2,290,"DODGE, MULLIS"
Dodge,Plainfield,38,2,299,"DODGE, PLAINFIELD"
Dodge,Pondtown,116,2,398,"DODGE, PONDTOWN"
Dodge,Rawlins,163,6,480,"DODGE, RAWLINS"
Dodge,Vilula,10,1,133,"DODGE, VILULA"
Dodge,Yonker,24,2,158,"DODGE, YONKER"
Dooly,Byromville,215,3,230,"DOOLY, BYROMVILLE"
Dooly,Lilly,179,3,174,"DOOLY, LILLY"
Dooly,Pinehurst,100,4,282,"DOOLY, PINEHURST"
Dooly,Unadilla,532,8,547,"DOOLY, UNADILLA"
Dooly,Vienna,885,17,926,"DOOLY, VIENNA"
Dougherty,1st Christian Church,472,10,606,"DOUGHERTY, 1ST CHRISTIAN CHURCH"
Dougherty,2nd Mt Zion Church,450,8,549,"DOUGHERTY, 2ND MT ZION CHURCH"
Dougherty,Albany Middle School,871,4,63,"DOUGHERTY, ALBANY MIDDLE SCHOOL"
Dougherty,Alice Coachman Elementary,494,4,16,"DOUGHERTY, ALICE COACHMAN ELEMENTARY"
Dougherty,Bill Miller Center,989,7,117,"DOUGHERTY, BILL MILLER CENTER"
Dougherty,Carver Teen Center,623,4,21,"DOUGHERTY, CARVER TEEN CENTER"
