PREC,PREC_match,county,precinct,PRES20D,PRES20L,PRES20R
"APPLING, 1B","APPLING, 1B",Appling,1B,116,7,870
"APPLING, 1C","APPLING, 1C",Appling,1C,44,2,594
"APPLING, 2","APPLING, 2",Appling,2,908,9,531
"APPLING, 3A1","APPLING, 3A1",Appling,3A1,20,4,587
"APPLING, 3C","APPLING, 3C",Appling,3C,288,4,843
"APPLING, 4B","APPLING, 4B",Appling,4B,23,2,647
"APPLING, 4D","APPLING, 4D",Appling,4D,130,1,1048
"APPLING, 5A","APPLING, 5A",Appling,5A,118,5,697
"APPLING, 5B","APPLING, 5B",Appling,5B,132,2,709
"ATKINSON, AXSON","ATKINSON, AXSON",Atkinson,Axson,45,3,479
"ATKINSON, PEARSON CITY","ATKINSON, PEARSON CITY",Atkinson,Pearson City,329,6,229
"ATKINSON, PEARSON COUNTY","ATKINSON, PEARSON COUNTY",Atkinson,Pearson County,160,11,1026
"ATKINSON, WILLACOOCHEE","ATKINSON, WILLACOOCHEE",Atkinson,Willacoochee,291,10,566
"BACON, DOUGLAS","BACON, DOUGLAS",Bacon,Douglas,625,25,4018
"BAKER, ANNA","BAKER, ANNA",Baker,Anna,31,0,93
"BAKER, ELMODEL","BAKER, ELMODEL",Baker,Elmodel,148,0,141
"BAKER, HOGGARDS MILL","BAKER, HOGGARD MILL",Baker,Hoggards Mill,111,3,120
"BAKER, MILFORD","BAKER, MILFORD",Baker,Milford,69,0,137
"BAKER, NEWTON","BAKER, NEWTON",Baker,Newton,293,3,406
"BALDWIN, BODDIE","BALDWIN, BODDIE",Baldwin,Boddie,547,6,134
"BALDWIN, CITY HALL ANNEX","BALDWIN, CITY HALL ANNEX",Baldwin,City Hall Annex,331,6,153
"BALDWIN, COOPERS","BALDWIN, COOPERS",Baldwin,Coopers,320,10,784
"BALDWIN, COURTHOUSE","BALDWIN, COURTHOUSE",Baldwin,Courthouse,169,6,113
"BALDWIN, EAST BALDWIN","BALDWIN, EAST BALDWIN",Baldwin,East Baldwin,1159,28,1581
"BALDWIN, EAST HARDWICK","BALDWIN, EAST HARDWICK",Baldwin,East Hardwick,520,12,140
"BALDWIN, FIRE DEPT","BALDWIN, FIRE DEPT",Baldwin,Fire Dept,711,10,212
"BALDWIN, MERIWEATHER","BALDWIN, MERIWEATHER",Baldwin,Meriweather,831,26,1366
"BALDWIN, NORTH BALDWIN","BALDWIN, NORTH BALDWIN",Baldwin,North Baldwin,810,24,1891
"BALDWIN, NORTH MILLEDGEVILLE","BALDWIN, NORTH MILL",Baldwin,North Milledgeville,859,22,793
"BALDWIN, SCOTTSBORO","BALDWIN, SCOTTSBORO",Baldwin,Scottsboro,275,8,426
"BALDWIN, SOUTH MILLEDGEVILLE","BALDWIN, SOUTH MILL",Baldwin,South Milledgeville,583,9,179
"BALDWIN, WEST BALDWIN","BALDWIN, WEST BALDWIN",Baldwin,West Baldwin,604,19,731
"BALDWIN, WEST HARDWICK","BALDWIN, WEST HARDWICK",Baldwin,West Hardwick,1421,22,400
"BANKS, ANDERSON","BANKS, ANDERSON",Banks,Anderson,100,12,901
"BANKS, BALDWIN","BANKS, BALDWIN",Banks,Baldwin,103,6,528
"BANKS, BERLIN","BANKS, BERLIN",Banks,Berlin,29,0,266
"BANKS, BUSHVILLE","BANKS, BUSHVILLE",Banks,Bushville,42,3,468
"BANKS, COLUMBIA","BANKS, COLUMBIA",Banks,Columbia,20,0,258
"BANKS, DAVIDS","BANKS, DAVIDS",Banks,Davids,166,11,1107
"BANKS, GOLDEN HILL","BANKS, GOLDEN HILL",Banks,Golden Hill,80,7,538
"BANKS, GROVE RIVER","BANKS, GROVE RIVER",Banks,Grove River,33,4,387
"BANKS, HOLLINGSWORTH","BANKS, HOLLINGSWORTH",Banks,Hollingsworth,53,3,432
"BANKS, HOMER","BANKS, HOMER",Banks,Homer,108,6,957
"BANKS, POPLAR SPRINGS","BANKS, POPLAR SPRINGS",Banks,Poplar Springs,113,15,1121
"BANKS, WASHINGTON","BANKS, WASHINGTON",Banks,Washington,53,4,438
"BANKS, WILMONTS","BANKS, WILMONTS",Banks,Wilmonts,32,3,394
"BARROW, 01 BETHLEHEM COMMUNITY CENTER","BARROW, 01 BETHLEHEM COMMUNITY CENTER",Barrow,01 Bethlehem Community Center,560,40,1728
"BARROW, 02 BETHLEHEM CHURCH - 211","BARROW, 02 BETHLEHEM CHURCH - 211",Barrow,02 Bethlehem Church - 211,966,72,4033
"BARROW, 03 HMONG NEW HOPE ALLIANCE CHURCH","BARROW, 03 BRAMLETT ELEMENTARY SCHOOL",Barrow,03 Hmong New Hope Alliance Church,943,74,3098
"BARROW, 04 COVENANT LIFE SANCTUARY","BARROW, 04 WESTSIDE MIDDLE SCHOOL",Barrow,04 Covenant Life Sanctuary,624,54,1904
"BARROW, 05 FIRE STATION 1 (STATHAM)","BARROW, 05 FIRE STATION 1 (STATHAM)",Barrow,05 Fire Station 1 (Statham),1743,70,4198
"BARROW, 08 FIRST BAPTIST CHURCH WINDER","BARROW, 08 FIRST BAPTIST CHURCH",Barrow,08 First Baptist Church Winder,1114,86,3784
"BARROW, 13 WINDER COMMUNITY CENTER","BARROW, 13 WINDER COMMUNITY CENTER",Barrow,13 Winder Community Center,2036,108,3664
"BARROW, 16 THE CHURCH AT WINDER","BARROW, 16 THE CHURCH AT WINDER",Barrow,16 The Church at Winder,2467,160,4395
"BARTOW, ADAIRSVILLE","BARTOW, ADAIRSVILLE",Bartow,Adairsville,908,73,3819
"BARTOW, ALLATOONA","BARTOW, ALLATOONA",Bartow,Allatoona,696,31,1997
"BARTOW, CARTERSVILLE EAST","BARTOW, CARTERSVILLE EAST",Bartow,Cartersville East,1527,65,2810
"BARTOW, CARTERSVILLE WEST","BARTOW, CARTERSVILLE WEST",Bartow,Cartersville West,1776,61,4030
"BARTOW, CASSVILLE","BARTOW, CASSVILLE",Bartow,Cassville,1019,53,2259
"BARTOW, CENTER","BARTOW, CENTER",Bartow,Center,568,48,2312
"BARTOW, EMERSON","BARTOW, EMERSON",Bartow,Emerson,414,29,1582
"BARTOW, EUHARLEE","BARTOW, EUHARLEE",Bartow,Euharlee,853,69,2859
"BARTOW, FOLSOM","BARTOW, FOLSOM",Bartow,Folsom,113,8,897
"BARTOW, HAMILTON CROSSING",,Bartow,Hamilton Crossing,921,45,3228
"BARTOW, KINGSTON","BARTOW, KINGSTON",Bartow,Kingston,305,27,1550
"BARTOW, MISSION ROAD","BARTOW, MISSION ROAD",Bartow,Mission Road,711,25,2070
"BARTOW, PINE LOG","BARTOW, PINE LOG",Bartow,Pine Log,189,25,1369
"BARTOW, TAYLORSVILLE","BARTOW, TAYLORSVILLE",Bartow,Taylorsville,206,25,1861
"BARTOW, WHITE","BARTOW, WHITE",Bartow,White,275,32,1648
"BARTOW, WOODLAND","BARTOW, WOODLAND HIGH",Bartow,Woodland,297,21,961
"BARTOW, ZENA DRIVE","BARTOW, ZENA DRIVE",Bartow,Zena Drive,1314,64,2422
"BEN HILL, EAST","BEN HILL, EAST",Ben Hill,East,1182,20,1249
"BEN HILL, WEST","BEN HILL, WEST",Ben Hill,West,1210,38,2861
"BERRIEN, ALAPAHA","BERRIEN, ALAPAHA",Berrien,Alapaha,206,5,622
"BERRIEN, ENIGMA","BERRIEN, ENIGMA",Berrien,Enigma,86,6,636
"BERRIEN, NASHVILLE","BERRIEN, NASHVILLE",Berrien,Nashville,694,25,3393
"BERRIEN, RAY CITY","BERRIEN, RAY CITY",Berrien,Ray City,216,12,1062
"BERRIEN, WEST BERRIEN","BERRIEN, WEST BERRIEN",Berrien,West Berrien,67,7,706
"BIBB, EAST MACON 1","BIBB, EAST MACON 1",Bibb,East Macon 1,929,11,47
"BIBB, EAST MACON 2","BIBB, EAST MACON 2",Bibb,East Macon 2,2169,27,157
"BIBB, EAST MACON 3","BIBB, EAST MACON 3",Bibb,East Macon 3,1563,23,570
"BIBB, EAST MACON 4","BIBB, EAST MACON 4",Bibb,East Macon 4,1309,9,95
"BIBB, EAST MACON 5","BIBB, EAST MACON 5",Bibb,East Macon 5,1264,16,379
"BIBB, GODFREY 1","BIBB, GODFREY 1",Bibb,Godfrey 1,2987,29,326
"BIBB, GODFREY 2","BIBB, GODFREY 2",Bibb,Godfrey 2,795,8,98
"BIBB, GODFREY 3","BIBB, GODFREY 3",Bibb,Godfrey 3,1543,8,175
"BIBB, GODFREY 4","BIBB, GODFREY 4",Bibb,Godfrey 4,826,7,139
"BIBB, GODFREY 5","BIBB, GODFREY 5",Bibb,Godfrey 5,2328,30,301
"BIBB, HAZZARD 1","BIBB, HAZZARD 1",Bibb,Hazzard 1,1676,21,232
"BIBB, HAZZARD 2","BIBB, HAZZARD 2",Bibb,Hazzard 2,1606,34,1215
"BIBB, HAZZARD 3","BIBB, HAZZARD 3",Bibb,Hazzard 3,3284,31,1201
"BIBB, HAZZARD 4","BIBB, HAZZARD 4",Bibb,Hazzard 4,1618,37,2112
"BIBB, HOWARD 1","BIBB, HOWARD 1",Bibb,Howard 1,992,21,1727
"BIBB, HOWARD 2","BIBB, HOWARD 2",Bibb,Howard 2,929,35,1734
"BIBB, HOWARD 3","BIBB, HOWARD 3",Bibb,Howard 3,2233,55,2397
"BIBB, HOWARD 4","BIBB, HOWARD 4",Bibb,Howard 4,625,22,577
"BIBB, HOWARD 5","BIBB, HOWARD 5",Bibb,Howard 5,917,14,535
"BIBB, HOWARD 6","BIBB, HOWARD 6",Bibb,Howard 6,736,18,878
"BIBB, HOWARD 7","BIBB, HOWARD 7",Bibb,Howard 7,851,31,1421
"BIBB, RUTLAND 1","BIBB, RUTLAND 1",Bibb,Rutland 1,1784,28,2559
"BIBB, RUTLAND 2","BIBB, RUTLAND 2",Bibb,Rutland 2,863,26,1590
"BIBB, VINEVILLE 1","BIBB, VINEVILLE 1",Bibb,Vineville 1,1509,37,670
"BIBB, VINEVILLE 2","BIBB, VINEVILLE 2",Bibb,Vineville 2,939,21,291
"BIBB, VINEVILLE 3","BIBB, VINEVILLE 3",Bibb,Vineville 3,1601,19,153
"BIBB, VINEVILLE 4","BIBB, VINEVILLE 4",Bibb,Vineville 4,2042,23,283
"BIBB, VINEVILLE 5","BIBB, VINEVILLE 5",Bibb,Vineville 5,818,30,913
"BIBB, VINEVILLE 6","BIBB, VINEVILLE 6",Bibb,Vineville 6,1180,39,937
"BIBB, WARRIOR 1","BIBB, WARRIOR 1",Bibb,Warrior 1,675,16,1300
"BIBB, WARRIOR 2","BIBB, WARRIOR 2",Bibb,Warrior 2,877,23,1573
"BLECKLEY, FAIRGROUND","BLECKLEY, FAIRGROUND",Bleckley,Fairground,1311,67,4328
"BRANTLEY, HOBOKEN","BRANTLEY, HOBOKEN",Brantley,Hoboken,164,17,2210
"BRANTLEY, NAHUNTA","BRANTLEY, NAHUNTA",Brantley,Nahunta,268,17,2522
"BRANTLEY, WAYNESVILLE","BRANTLEY, WAYNESVILLE",Brantley,Waynesville,267,22,2259
"BROOKS, BARWICK","BROOKS, BARWICK",Brooks,Barwick,67,0,181
"BROOKS, BRIGGS","BROOKS, BRIGGS",Brooks,Briggs,315,15,1148
"BROOKS, DIXIE","BROOKS, DIXIE",Brooks,Dixie,395,4,363
"BROOKS, MORVEN","BROOKS, MORVEN",Brooks,Morven,399,10,925
"BROOKS, NANKIN","BROOKS, NANKIN",Brooks,Nankin,86,2,421
"BROOKS, PAVO","BROOKS, PAVO",Brooks,Pavo,122,2,314
"BROOKS, QUITMAN","BROOKS, QUITMAN",Brooks,Quitman,1406,17,908
"BRYAN, BLACK CREEK","BRYAN, BLACK CREEK",Bryan,Black Creek,393,21,1442
"BRYAN, DANIELSIDING","BRYAN, DANIELSIDING",Bryan,Danielsiding,435,29,1213
"BRYAN, ELLABELL","BRYAN, ELLABELL",Bryan,Ellabell,302,17,1300
"BRYAN, HWY 144 EAST","BRYAN, HWY 144 EAST",Bryan,Hwy 144 East,1393,71,2528
"BRYAN, JF GREGORY PARK","BRYAN, J.F. GREGORY PARK",Bryan,JF Gregory Park,573,35,1654
"BRYAN, KELLER","BRYAN, KELLER",Bryan,Keller,1017,43,2205
"BRYAN, PEMBROKE","BRYAN, PEMBROKE",Bryan,Pembroke,567,32,1111
"BRYAN, PUBLIC SAFETY COMPLEX","BRYAN, PUBLIC SAFETY COMPLEX",Bryan,Public Safety Complex,635,41,937
"BRYAN, RH REC COMPLEX","BRYAN, RH REC COMPLEX",Bryan,RH Rec Complex,888,47,1137
"BRYAN, WAYS STATION","BRYAN, WAYS STATION",Bryan,Ways Station,536,21,717
"BULLOCH, BAY","BULLOCH, BAY",Bulloch,Bay,203,12,987
"BULLOCH, BLITCH","BULLOCH, BLITCH",Bulloch,Blitch,398,12,1129
"BULLOCH, BROOKLET","BULLOCH, BROOKLET",Bulloch,Brooklet,565,35,1880
"BULLOCH, CHURCH","BULLOCH, CHURCH",Bulloch,Church,1988,63,1737
"BULLOCH, EMIT","BULLOCH, EMIT",Bulloch,Emit,757,49,1620
"BULLOCH, FAIR","BULLOCH, FAIR",Bulloch,Fair,1705,75,2559
"BULLOCH, HAGIN","BULLOCH, HAGIN",Bulloch,Hagin,575,14,1079
"BULLOCH, LEEFIELD","BULLOCH, LEEFIELD",Bulloch,Leefield,112,13,630
"BULLOCH, LOCKHART","BULLOCH, LOCKHART",Bulloch,Lockhart,150,3,385
"BULLOCH, NEVILS","BULLOCH, NEVILS",Bulloch,Nevils,169,12,740
"BULLOCH, PITTMAN PARK","BULLOCH, PITTMAN PARK",Bulloch,Pittman Park,1725,75,992
"BULLOCH, PORTAL","BULLOCH, PORTAL",Bulloch,Portal,309,10,839
"BULLOCH, REGISTER","BULLOCH, REGISTER",Bulloch,Register,217,10,411
"BULLOCH, SINKHOLE","BULLOCH, SINKHOLE",Bulloch,Sinkhole,60,2,298
"BULLOCH, STATESBORO","BULLOCH, STATESBORO",Bulloch,Statesboro,2074,59,1907
"BULLOCH, STILSON","BULLOCH, STILSON",Bulloch,Stilson,236,11,1193
"BURKE, ALEXANDER","BURKE, ALEXANDER",Burke,Alexander,113,1,158
"BURKE, BLAKENEY","BURKE, BLAKENEY",Burke,Blakeney,237,1,165
"BURKE, FOUR POINTS","BURKE, FOUR POINTS",Burke,Four Points,503,10,1086
"BURKE, GIRARD","BURKE, GIRARD",Burke,Girard,242,3,232
"BURKE, GOUGH","BURKE, GOUGH",Burke,Gough,189,2,116
"BURKE, GREENSCUT","BURKE, GREENSCUT",Burke,Greenscut,271,4,412
"BURKE, KEYSVILLE","BURKE, KEYSVILLE",Burke,Keysville,141,3,119
"BURKE, MIDVILLE","BURKE, MIDVILLE",Burke,Midville,181,2,122
"BURKE, MUNNERLYN","BURKE, MUNNERLYN",Burke,Munnerlyn,81,2,116
"BURKE, NORTH WAYNESBORO","BURKE, NORTH WAYNESBORO",Burke,North Waynesboro,1296,9,482
"BURKE, SARDIS","BURKE, SARDIS",Burke,Sardis,257,4,392
"BURKE, SCOTTS CROSSROADS","BURKE, SCOTTS CROSSROADS",Burke,Scotts Crossroads,128,0,63
"BURKE, SOUTH WAYNESBORO","BURKE, SOUTH WAYNESBORO",Burke,South Waynesboro,1007,26,1281
"BURKE, ST CLAIR","BURKE, ST. CLAIR",Burke,St Clair,143,0,173
"BURKE, TELFAIR","BURKE, TELFAIR",Burke,Telfair,315,6,378
"BURKE, VIDETTE","BURKE, VIDETTE",Burke,Vidette,105,2,105
"BUTTS, BUTTS COUNTY ADMIN BLDG","BUTTS, BUTTS CO ADMIN BLDG",Butts,Butts County Admin Bldg,3274,91,8406
"CALHOUN, ARLINGTON","CALHOUN, ARLINGTON",Calhoun,Arlington,348,2,121
"CALHOUN, EDISON","CALHOUN, EDISON",Calhoun,Edison,243,1,64
"CALHOUN, EDISON-ARLINGTON","CALHOUN, EDISON-ARLINGTON",Calhoun,Edison-Arlington,234,1,161
"CALHOUN, LEARY","CALHOUN, LEARY",Calhoun,Leary,291,5,227
"CALHOUN, MORGAN","CALHOUN, MORGAN",Calhoun,Morgan,144,2,350
"CAMDEN, BROWNTOWN","CAMDEN, BROWNTOWN",Camden,Browntown,74,14,384
"CAMDEN, EAST KINGSLAND","CAMDEN, EAST KINGSLAND",Camden,East Kingsland,1604,100,2825
"CAMDEN, HARRIETTS BLUFF","CAMDEN, HARRIETTS BLUFF",Camden,Harrietts Bluff,299,25,1075
"CAMDEN, KINGSLAND","CAMDEN, KINGSLAND",Camden,Kingsland,485,29,763
"CAMDEN, MUSH BLUFF","CAMDEN, MUSH BLUFF",Camden,Mush Bluff,639,44,1308
"CAMDEN, NORTH KINGSLAND","CAMDEN, NORTH KINGSLAND",Camden,North Kingsland,804,38,747
"CAMDEN, NORTH ST MARYS","CAMDEN, NORTH ST MARYS",Camden,North St Marys,387,36,555
"CAMDEN, SOUTH ST MARYS","CAMDEN, SOUTH ST MARYS",Camden,South St Marys,546,21,1013
"CAMDEN, ST MARYS","CAMDEN, MARY LEE CLARK",Camden,St Marys,845,61,1222
"CAMDEN, TARBORO","CAMDEN, TARBORO",Camden,Tarboro,192,7,490
"CAMDEN, WAVERLY","CAMDEN, WAVERLY",Camden,Waverly,347,9,886
"CAMDEN, WEST KINGSLAND","CAMDEN, WEST KINGSLAND",Camden,West Kingsland,497,39,1355
"CAMDEN, WEST ST MARYS","CAMDEN, WEST SAINT MARYS",Camden,West St Marys,708,33,1786
"CAMDEN, WOODBINE","CAMDEN, WOODBINE",Camden,Woodbine,540,14,842
"CANDLER, JACK STRICKLAND COMM CENTER","CANDLER, JACK STRICKLAND COMM CENTER",Candler,Jack Strickland Comm Center,1269,29,3133
"CARROLL, BETHANY","CARROLL, BETHANY (501)",Carroll,Bethany,1066,50,1585
"CARROLL, BONNER","CARROLL, BONNER (714A3)",Carroll,Bonner,1035,36,1327
"CARROLL, BOWDON","CARROLL, BOWDON (1111)",Carroll,Bowdon,493,19,1483
"CARROLL, BOWDON JUNCTION","CARROLL, BOWDON JUNCTION (1496)",Carroll,Bowdon Junction,227,6,738
"CARROLL, BURSON CENTER","CARROLL, BURSON (714BN)",Carroll,Burson Center,337,9,638
"CARROLL, BURWELL","CARROLL, BURWELL (1371)",Carroll,Burwell,188,11,886
"CARROLL, CENTER POINT","CARROLL, CENTER POINT (1152)",Carroll,Center Point,163,10,1188
"CARROLL, CLEM","CARROLL, CLEM (1483)",Carroll,Clem,617,33,2095
"CARROLL, COUNTY ADMIN BLDG","CARROLL, COUNTY ADMIN BLDG (714A5)",Carroll,County Admin Bldg,739,42,994
"CARROLL, FAIRFIELD","CARROLL, FAIRFIELD (1540)",Carroll,Fairfield,782,26,2151
"CARROLL, HULETT","CARROLL, HULETT (1542)",Carroll,Hulett,309,30,1401
"CARROLL, KANSAS","CARROLL, KANSAS (1006)",Carroll,Kansas,68,6,787
"CARROLL, LAKESHORE REC CENTER","CARROLL, LAKESHORE REC (714A2)",Carroll,Lakeshore Rec Center,440,15,590
"CARROLL, MT ZION","CARROLL, MT ZION (1240)",Carroll,Mt Zion,293,15,1452
"CARROLL, OAK GROVE","CARROLL, OAK GROVE (715)",Carroll,Oak Grove,254,19,847
"CARROLL, OLD CAMP CHURCH","CARROLL, OLD CAMP CHURCH (714BW)",Carroll,Old Camp Church,437,24,1216
"CARROLL, ROOPVILLE","CARROLL, ROOPVILLE (713)",Carroll,Roopville,334,29,1865
"CARROLL, SANDHILL","CARROLL, SANDHILL (1122)",Carroll,Sandhill,765,33,2053
"CARROLL, TABERNACLE CHURCH","CARROLL, TABERNACLE CHURCH (714A6)",Carroll,Tabernacle Church,407,25,708
"CARROLL, TEMPLE CITY","CARROLL, TEMPLE CITY (650)",Carroll,Temple City,774,32,1527
"CARROLL, TEMPLE COUNTY","CARROLL, TEMPLE COUNTY (649)",Carroll,Temple County,506,38,2154
"CARROLL, TYUS","CARROLL, TYUS (1533)",Carroll,Tyus,188,9,1168
"CARROLL, UNIVERSITY OF W GA","CARROLL, UNIVERSITY OF W. GA (714A4)",Carroll,University of W GA,596,25,667
"CARROLL, V R COUNTY NORTH","CARROLL, V R COUNTY NORTH (641)",Carroll,V R County North,1030,51,2358
"CARROLL, V R COUNTY SOUTH","CARROLL, V R COUNTY SOUTH (640)",Carroll,V R County South,417,19,1490
"CARROLL, VILLA RICA CITY","CARROLL, VILLA RICA CITY (642)",Carroll,Villa Rica City,2140,84,2067
"CARROLL, WEST CARROLLTON","CARROLL, WEST CARROLLTON (714A1)",Carroll,West Carrollton,1429,46,802
"CARROLL, WHITESBURG","CARROLL, WHITESBURG (682)",Carroll,Whitesburg,204,18,1239
"CATOOSA, BLACKSTOCK","CATOOSA, BLACKSTOCK",Catoosa,Blackstock,208,19,1088
"CATOOSA, BOYNTON","CATOOSA, BOYNTON",Catoosa,Boynton,996,70,3501
"CATOOSA, CATOOSA KEITH","CATOOSA, CATOOSA KEITH",Catoosa,Catoosa Keith,329,39,1532
"CATOOSA, CHAMBERS","CATOOSA, CHAMBERS",Catoosa,Chambers,351,34,1641
"CATOOSA, FT OGLETHORPE","CATOOSA, FORT OGLETHORPE",Catoosa,Ft Oglethorpe,701,33,1989
"CATOOSA, GRAYSVILLE","CATOOSA, GRAYSVILLE",Catoosa,Graysville,658,51,2439
"CATOOSA, LAKEVIEW","CATOOSA, LAKEVIEW",Catoosa,Lakeview,485,36,1654
"CATOOSA, POPLAR SPRINGS","CATOOSA, POPLAR SPRINGS",Catoosa,Poplar Springs,582,43,2433
"CATOOSA, RINGGOLD","CATOOSA, RINGGOLD",Catoosa,Ringgold,1327,82,4080
"CATOOSA, WESTSIDE","CATOOSA, WESTSIDE",Catoosa,Westside,902,57,2958
"CATOOSA, WOODSTATION","CATOOSA, WOODSTATION",Catoosa,Woodstation,393,30,1852
"CHARLTON, AMERICAN LEGION","CHARLTON, AMERICAN LEGION",Charlton,American Legion,54,6,535
"CHARLTON, FOLKSTON","CHARLTON, FOLKSTON",Charlton,Folkston,844,22,711
"CHARLTON, FOLKSTON FIRE","CHARLTON, FOLKSTON FIRE STATION",Charlton,Folkston Fire,60,8,486
"CHARLTON, GA BEND","CHARLTON, GA BEND",Charlton,GA Bend,21,2,332
"CHARLTON, HOMELAND","CHARLTON, HOMELAND",Charlton,Homeland,64,3,538
"CHARLTON, RACEPOND","CHARLTON, RACEPOND",Charlton,Racepond,20,1,194
"CHARLTON, ST GEORGE","CHARLTON, ST. GEORGE",Charlton,St George,22,1,418
"CHARLTON, WINOKUR","CHARLTON, WINOKUR",Charlton,Winokur,18,1,205
"CHATHAM, 1-01C FIRST PRESBYTERIAN CHURCH","CHATHAM, 1-01 FIRST PRESBYTERIAN CHURCH",Chatham,1-01C First Presbyterian Church,1597,32,952
"CHATHAM, 1-05C JEA BUILDING","CHATHAM, 1-05 JEA BUILDING",Chatham,1-05C JEA Building,949,32,595
"CHATHAM, 1-06C CENTRAL CHURCH OF CHRIST","CHATHAM, 1-06 CENTRAL CHUR OF CHRIST",Chatham,1-06C Central Church of Christ,704,29,854
"CHATHAM, 1-08C GRACE UNITED METHODIST CHURCH","CHATHAM, 1-08 GRACE UNITED METH CHUR",Chatham,1-08C Grace United Methodist Church,587,10,628
"CHATHAM, 1-09C IMMANUEL BAPTIST CHURCH","CHATHAM, 1-09 IMMANUEL BAPT CHURCH",Chatham,1-09C Immanuel Baptist Church,265,5,181
"CHATHAM, 1-10C ST THOMAS EPISCOPAL CHURCH","CHATHAM, 1-10 SAINT THOMAS EPISCOPAL CHURCH",Chatham,1-10C St Thomas Episcopal Church,300,17,626
"CHATHAM, 1-12C ISLE OF HOPE BAPTIST","CHATHAM, 1-12 ISLE OF HOPE BAPTIST",Chatham,1-12C Isle of Hope Baptist,544,16,1080
"CHATHAM, 1-13C THE SANCTUARY","CHATHAM, 1-13 THE SANCTUARY",Chatham,1-13C The Sanctuary,414,14,589
"CHATHAM, 1-14C COMPASSION CHRISTIAN CHURCH",,Chatham,1-14C Compassion Christian Church,488,19,785
"CHATHAM, 1-16C FERGUSON AVE BAPTIST","CHATHAM, 1-16 FERGUSON AVE BAPTIST",Chatham,1-16C Ferguson Ave Baptist,589,24,1497
"CHATHAM, 1-17C ISLANDS CHRISTIAN CHURCH","CHATHAM, 1-17 ISLANDS CHRISTIAN CHURCH",Chatham,1-17C Islands Christian Church,860,35,1666
"CHATHAM, 2-02C BLACKSHEAR COMMUNITY CENTER","CHATHAM, 2-02 BLACKSHEAR COMM CTR",Chatham,2-02C Blackshear Community Center,713,21,161
"CHATHAM, 2-03C W W LAW CENTER","CHATHAM, 2-03 W. W. LAW CENTER",Chatham,2-03C W W Law Center,707,25,115
"CHATHAM, 2-04C FELLOWSHIP OF LOVE CHURCH","CHATHAM, 2-04 FELLOWSHIP OF LOVE",Chatham,2-04C Fellowship of Love Church,1647,23,129
"CHATHAM, 2-05C HOLY SPIRIT LUTHERAN CHURCH","CHATHAM, 2-05 HOLY SPIRIT LUTHERAN",Chatham,2-05C Holy Spirit Lutheran Church,1123,22,135
"CHATHAM, 2-06C ELI WHITNEY COMPLEX","CHATHAM, 2-06 ELI WHITNEY",Chatham,2-06C Eli Whitney Complex,335,7,65
"CHATHAM, 2-07C CHRIST COMMUNITY CHURCH","CHATHAM, 2-07 CHRIST COMM. CHURCH",Chatham,2-07C Christ Community Church,1347,22,220
"CHATHAM, 2-09C SALVATION ARMY","CHATHAM, 2-09 THE SALVATION ARMY",Chatham,2-09C Salvation Army,1742,27,256
"CHATHAM, 2-11C STILLWELL TOWERS","CHATHAM, 2-11 STILLWELL TOWERS",Chatham,2-11C Stillwell Towers,839,12,163
"CHATHAM, 2-12C WILLIAMS COURT APTS","CHATHAM, 2-12 WILLIAMS COURT",Chatham,2-12C Williams Court Apts,823,26,123
"CHATHAM, 3-01C OLD COURTHOUSE","CHATHAM, 3-01 OLD COURTHOUSE",Chatham,3-01C Old Courthouse,176,4,122
"CHATHAM, 3-02C TEMPLE MICKVE ISRAEL",,Chatham,3-02C Temple Mickve Israel,709,13,410
"CHATHAM, 3-03C SAVANNAH HIGH SCHOOL","CHATHAM, 3-03 SAVANNAH HIGH SCHOOL",Chatham,3-03C Savannah High School,537,8,64
"CHATHAM, 3-04C FIRST AFRICAN BAPTIST CHURCH","CHATHAM, 3-04 FIRST AFRICAN BAPTIST",Chatham,3-04C First African Baptist Church,798,10,63
"CHATHAM, 3-05C ALDERSGATE YOUTH CENTER","CHATHAM, 3-05 ALDERSGATE YOUTH CENT",Chatham,3-05C Aldersgate Youth Center,884,21,300
"CHATHAM, 3-08C JENKINS HIGH SCHOOL","CHATHAM, 3-08 JENKINS HIGH SCHOOL",Chatham,3-08C Jenkins High School,565,10,217
"CHATHAM, 3-09C COKESBURY METHODIST","CHATHAM, 3-09 COKESBURY METHODIST",Chatham,3-09C Cokesbury Methodist,222,12,296
"CHATHAM, 3-10C BIBLE BAPTIST CHURCH","CHATHAM, 3-10 BIBLE BAPTIST CHURCH",Chatham,3-10C Bible Baptist Church,1369,20,220
"CHATHAM, 3-11C SOUTHSIDE BAPTIST CHURCH","CHATHAM, 3-11 SOUTHSIDE BAPT CHURCH",Chatham,3-11C Southside Baptist Church,707,12,162
"CHATHAM, 3-12C THUNDERBOLT MUNI COMPLEX","CHATHAM, 3-12 THUNDERBOLT MUNI. COMPLEX",Chatham,3-12C Thunderbolt Muni Complex,629,18,528
"CHATHAM, 3-13C NEW COV 7 DAY ADV CH","CHATHAM, 3-13 NEW COV 7 DAY ADV CH",Chatham,3-13C New Cov 7 Day Adv Ch,845,14,525
"CHATHAM, 3-14C OGLETHORPE CHARTER ACADEMY","CHATHAM, 3-14 OGLETHORPE",Chatham,3-14C Oglethorpe Charter Academy,1186,6,344
